Model,Brake Horsepower (BHP),Torque (Nm),Fuel Consumption (L/100km),CO2 Emissions (g/km),NOx Emissions (g/km),RPM (Revolutions Per Minute),Load Percentage,Coolant Temperature (°C),Oil Temperature (°C),Oil Pressure (kPa),Intake Manifold Pressure (kPa),Exhaust Back Pressure (kPa),Vibration Levels,Noise Levels (dB)
Volvo FH 520,489.4057452,1155.066779,5.383050005,203.4089227,4.914464318,1246.780806,38.52526872,80.04088611,71.76314651,207.5838021,58.76965213,13.73579491,0.119499588,72.7607732
Ashok Leyland 2518,275.8155157,2575.631085,12.18205824,441.4303174,0.854350536,1118.067876,28.70041324,93.07878281,99.50521302,211.5994427,105.1119761,22.97492219,0.404928335,80.95537572
Mahindra Blazo X 35,228.7170843,1697.824242,19.2411793,254.3503128,0.22100669,2004.224502,45.25441521,98.36802555,118.3054482,238.456365,131.4554101,24.32300263,0.55109852,88.91210112
Tata 407,302.0338997,2347.300319,5.502544748,294.1369205,3.752099838,1850.819194,14.17371787,99.75148077,98.65869745,304.6400375,101.1250831,41.72824615,0.953282264,74.66809361
Ashok Leyland 2518,370.3419532,1515.651543,8.744047117,306.3940016,4.302704201,2473.64954,63.14529701,95.66213896,77.40085523,208.6768192,88.2862382,12.30817275,0.879168509,80.51941548
Ashok Leyland 2518,455.7680429,2781.826166,13.13853695,419.6528155,1.773626705,1853.998624,83.89655623,90.89292355,117.7331985,344.6572163,147.3081927,23.50139151,0.257794462,74.12456584
Mahindra Blazo X 35,199.0670834,1034.130901,8.86565286,389.8044562,2.43012871,1569.840586,98.53467728,96.16546432,68.77596388,254.9246404,61.72834082,11.56602063,0.588720781,74.57771878
Mahindra Blazo X 35,199.3580115,1960.807657,17.70012519,436.1312133,2.953722863,2219.109064,80.29373399,82.33437712,90.79426751,280.5418397,51.623713,23.62765457,0.412973439,89.93750508
Tata 407,314.2744018,2539.473574,6.176214039,467.0920984,0.850157944,1671.879312,65.70388412,80.47214808,66.24264021,344.0838657,57.05446402,43.35077043,0.910647168,87.37795301
Mahindra Blazo X 35,174.1105263,2082.141647,14.32301074,329.3373078,1.335040121,2239.596609,41.86342719,83.1548198,80.80210571,329.6042183,116.7153266,17.59388173,0.747606925,77.88398152
Volvo FH 520,155.8000352,2576.184323,18.87617311,447.0550235,4.971621148,1595.243633,61.40173519,95.23915426,105.9630579,348.8257381,147.9114663,38.07025846,0.946170543,74.54431984
Mahindra Blazo X 35,420.1813564,1863.120104,11.06004602,154.0056729,3.891393221,1913.054161,31.52782298,82.9609053,88.29645874,203.8157048,91.33520884,39.15574008,0.158547459,85.82475116
Tata 407,255.954405,1292.188408,4.668999222,265.3688638,2.837787825,1008.604714,64.19658662,87.67204325,78.71888694,262.6283532,112.3811571,24.35272505,0.286343358,84.52453947
Eicher Pro 6025,258.4310743,2021.461269,15.41539168,306.1821878,2.829390835,1226.804347,49.93941593,80.23747475,92.45190758,276.2346536,78.72801716,43.95742581,0.434431194,89.95159768
Mahindra Blazo X 35,251.3094201,2366.67632,14.14385114,257.5142018,1.684219812,1437.053987,53.0797176,99.71777116,62.84418605,272.1894218,108.6478139,38.58526533,0.565653433,70.31976322
Eicher Pro 6025,250.5654079,1649.248299,5.095410659,282.3757183,0.492943927,1820.894586,57.70543133,85.56633847,118.7493144,246.411932,119.2573863,29.35907186,0.652253367,73.15865527
Tata 407,216.6715217,2391.973885,8.867357937,363.9634706,1.533556515,1288.703312,17.24779564,89.46745433,65.72543682,375.9131943,64.26790069,20.53554958,0.675373485,84.20663093
Mahindra Blazo X 35,388.629234,1700.299451,6.178770086,100.1178163,0.333396008,1112.452965,33.78225043,81.77719424,118.359339,218.0701682,50.34828847,39.16903418,0.695126864,71.61092076
Eicher Pro 6025,321.8019232,1843.625932,5.029801166,449.7310051,2.56452516,1721.228632,50.56637991,81.79291276,84.08045825,290.0911281,137.8205438,18.9846401,0.841931716,72.86202369
Mahindra Blazo X 35,202.0504203,1910.776493,11.93074327,139.9088387,2.5461425,1375.205515,63.62655403,90.86236997,96.23137461,353.2203619,113.0046845,43.51537237,0.996639802,82.33090088
Ashok Leyland 2518,311.9243041,1423.593187,17.02795771,269.2209299,2.161617397,2323.201055,37.85086947,86.84478031,114.7199247,363.0789679,97.95041221,42.81985095,0.271198607,71.34729019
Volvo FH 520,290.6548365,1884.584596,13.40022955,196.9621779,1.524578258,1736.088124,39.70460228,99.29840795,87.40223303,327.0600167,65.01189075,17.4092267,0.219145495,84.79597826
Eicher Pro 6025,354.468461,2460.210082,16.24296607,205.5636649,0.399731896,1537.315916,33.44594203,87.03652776,116.7853243,207.9622833,50.7625762,21.72826084,0.968837256,88.760973
Ashok Leyland 2518,204.1546953,2066.649908,17.2072333,376.1273684,4.33386072,1902.631117,41.00450127,95.25146484,90.20157957,313.8192385,88.12199857,17.8068812,0.630203747,75.49349869
Tata 407,212.8953966,2281.739334,18.1932725,445.2701944,2.828901373,1919.970847,84.38152711,80.40915231,95.69266315,215.0645279,96.36191303,40.16751631,0.845721419,84.06175296
Eicher Pro 6025,213.4001145,2300.511943,9.455238253,389.1971209,2.536991556,1365.525049,97.6558376,83.55819143,80.38380934,324.7696294,109.3818345,18.24379526,0.944237471,83.93847794
Tata 407,442.9005538,1810.71099,14.19284462,268.7872186,3.241282727,2365.878851,56.30204104,92.33100016,112.7146873,262.7362598,51.70875188,41.30382155,0.25822502,86.2791342
Ashok Leyland 2518,285.1667572,2328.732275,10.77105691,109.8174838,1.197582446,1090.591507,86.67392807,92.70910059,110.7354009,339.4159696,87.15106999,10.24013229,0.292911116,85.39502194
Tata 407,461.8166139,2011.502007,15.51876182,261.6105258,3.018746521,1793.060406,96.48042281,90.44039715,66.29281311,212.5163598,102.1078038,40.42692225,0.421215304,82.42057792
Ashok Leyland 2518,438.0517806,2152.229377,4.990110628,251.3759528,3.463853064,1262.212794,93.74837112,83.09370474,112.7993428,332.6886417,132.559244,11.15147569,0.429444349,81.65751986
Tata 407,238.5217981,1211.543085,7.306844098,402.8236373,0.943988802,1423.315974,67.43503997,95.70546733,108.8189808,332.1051307,113.9323291,48.65252049,0.454039043,84.42319675
Volvo FH 520,315.3605502,1174.385964,4.470376551,231.8113667,4.677365256,1410.024889,34.6893331,86.67282188,81.4004228,285.0812658,68.61046092,22.14479051,0.786432064,83.83114839
Ashok Leyland 2518,292.6088775,2485.013119,18.40978843,258.7087585,1.795562019,2055.69519,79.76902525,80.78089288,114.9197009,294.8185617,140.1422309,38.51496176,0.247944486,70.33099081
Tata 407,491.1672962,1915.200129,6.946375302,265.8979421,0.389453163,2139.067584,34.05536589,85.75338755,81.60189068,365.2368652,130.8535697,42.60833088,0.174650955,80.43025725
Tata 407,416.459859,2877.112982,18.3336802,156.044485,4.601907795,1699.308362,66.51925866,99.9835498,86.32722891,301.3335939,76.38093049,43.55103475,0.735506157,76.75862179
Tata 407,284.954937,2338.768171,11.56701217,142.1603101,1.444968374,1302.79045,36.04024698,98.36782587,82.25991197,210.0156689,69.67403955,24.86314014,0.648212318,70.68673477
Tata 407,268.9042277,2053.352788,10.75812726,208.5889002,2.743550167,1745.282268,59.63931908,92.43350137,112.7252326,386.1516402,83.11516717,13.89631816,0.712564369,76.1243136
Mahindra Blazo X 35,429.6376004,2826.405774,13.73619826,385.1363661,2.817621744,1937.789492,64.62654056,81.17301191,115.7284462,313.2511143,86.46317843,40.08101214,0.989908547,79.94844393
Mahindra Blazo X 35,275.6327752,2132.653279,9.086917453,362.3308648,4.497052881,1941.617543,88.29295349,80.22799608,76.08969963,326.0848194,105.9546997,34.93121007,0.141257008,85.97767646
Eicher Pro 6025,431.2884622,1343.6251,18.30739519,494.5636236,1.3062997,2406.239989,21.42401409,80.56419829,101.2543647,217.2713985,79.65460693,32.59843589,0.116441894,80.44454043
Ashok Leyland 2518,403.2105957,2676.862151,16.69782927,288.9727466,0.211639736,1322.719118,77.9128261,82.25719701,112.4867209,393.7098835,132.1594372,14.84775819,0.117948701,74.31847423
Ashok Leyland 2518,213.158455,1374.846522,4.273273198,226.1127678,0.783531272,1768.674582,71.70078225,97.85073536,76.77938862,314.0678964,85.44388488,35.86159723,0.209625945,77.10785911
Ashok Leyland 2518,380.5178352,2914.862535,18.22189642,490.808714,4.163093593,2129.79688,46.78639416,98.34378573,98.20591328,361.6985999,149.5488384,18.48144775,0.401621364,83.24894244
Ashok Leyland 2518,434.9249038,2770.48111,9.636992873,267.81826,3.585169674,1869.033828,28.98104184,97.20263012,99.68159638,311.9160363,79.66275855,37.08758811,0.847149407,85.78575007
Ashok Leyland 2518,277.8351335,2237.02097,10.23298852,326.8980905,1.941896048,1142.738848,81.16965264,98.40392709,99.20182932,244.6885895,92.29395571,24.64571857,0.502150628,86.72892329
Eicher Pro 6025,257.1998415,1654.917328,7.026050532,307.3930368,2.644706432,2429.729687,81.68114726,84.00259841,83.71184717,380.8794377,55.05309812,19.34882649,0.623618011,73.3391279
Volvo FH 520,332.8001529,1980.725119,14.77289623,233.6873734,2.640059041,1675.872798,35.03339445,81.42098048,64.41077403,301.0328265,94.2789565,14.9185598,0.141976401,78.50210146
Ashok Leyland 2518,275.9774559,2845.56545,6.645049987,233.2802658,0.214889921,1079.037804,70.86149921,85.47140686,89.78120872,299.18325,124.0568336,24.43284925,0.605786942,83.41358674
Ashok Leyland 2518,279.4239082,1275.925187,19.63342457,436.1163107,4.715595768,1776.036716,70.29736327,89.05083774,79.81036821,222.7820686,101.7954327,14.17420244,0.95826065,74.39119519
Volvo FH 520,320.4764657,1158.169258,9.120034938,223.4002857,4.689413831,2105.298416,81.61747019,86.67009176,65.28184014,390.422671,62.25857314,47.22025307,0.538908514,70.23687469
Volvo FH 520,432.3109926,2594.706027,6.255715693,404.9071338,2.562441082,2130.348389,69.85630351,93.95875984,63.6857045,225.1006835,96.52338332,43.54232332,0.188133386,86.18245265
Ashok Leyland 2518,275.784311,1456.745126,8.86651301,347.4817993,4.492969047,1884.529444,15.34004683,89.04656479,88.8162567,319.1828275,116.4676214,38.52432753,0.222662716,71.04908853
